t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5
0.065732,-2.012536773,-0.878942134,1.253208344,0.918890077,-0.239435192,0.310475661,0.043779868,1.909208669,1.084923639,-0.346722757,-1.175117505,0.273368431,0.028542111,75.04318879,65.91857578,4.147193335,65.26205183,-64.48391413,-3.644548704,4.05637917,3.856037918,3.222885524,3.862426441,0.916684358,0.005653497,0.089928799,0.9773635,0.001324014,0.089420703,0.979406274,0.001054864,0.089899752,0.979407099,0.001054864,0.044939423,0.979408342,0.001054864,0.044573965,0.979410837,0.001054864,0.044894065
0.0690186,-1.951556906,-0.843175805,1.243029731,0.914139655,-0.254124666,0.312122776,0.048463556,2.155845591,1.301571611,-0.333092593,-0.960627264,0.061435618,0.016563939,75.81388826,70.65609655,4.112803982,88.64722517,-41.10612265,-1.159113776,4.206377219,3.706068605,3.37243365,4.012425507,0.91040518,0.006279178,0.089936505,0.975971323,0.001392177,0.089453525,0.978318345,0.001087929,0.089904039,0.97831917,0.001087929,0.044926991,0.978320413,0.001087929,0.044515899,0.978322909,0.001087929,0.044893125
0.0723052,-1.883136695,-0.80066952,1.233251996,0.910982735,-0.265205704,0.311479967,0.052503508,2.405015495,1.533789917,-0.319575452,-0.669279319,-0.073663753,0.012754396,76.27706167,74.46442046,4.90838392,111.9807565,-64.35787746,-3.647888027,4.356375143,3.855998337,3.22244508,4.16242397,0.903273858,0.007131322,0.089945299,0.974494388,0.001476935,0.089492629,0.977188934,0.001129411,0.089909308,0.977189759,0.001129411,0.044912838,0.977191002,0.001129411,0.044437373,0.977193498,0.001129411,0.044892987
0.0755918,-1.807216288,-0.750999705,1.223910726,0.909857704,-0.271653601,0.308664902,0.055581081,2.655707663,1.77852466,-0.303443559,-0.301243397,-0.285182335,0.000765248,76.36529855,77.04633128,6.914200162,135.2621926,-87.64935843,-6.137020163,4.506372666,4.005969193,3.072453178,4.312420703,0.89495379,0.008320068,0.089954787,0.972911904,0.001582484,0.089537255,0.976008282,0.001180652,0.089915441,0.976009108,0.001180652,0.044896709,0.97601035,0.001180652,0.044328652,0.976012846,0.001180652,0.04489427
0.0788784,-1.723767181,-0.693849018,1.215140564,0.911511198,-0.272407804,0.302698711,0.057574414,2.906689831,2.03174511,-0.280719351,0.143309286,-0.573250691,-0.019404681,75.88219758,78.06661016,10.56209843,158.4182868,-111.0822299,-8.62590469,4.656369219,4.155934362,2.922461882,4.462392921,0.884918469,0.010035321,0.08996448,0.971197363,0.001714541,0.089586326,0.974764947,0.001243335,0.089922283,0.974765773,0.001243335,0.044878411,0.974767015,0.001243335,0.044173356,0.974769511,0.001243335,0.044897974
0.082165,-1.63280701,-0.629037081,1.207217101,0.91654528,-0.266362356,0.292554849,0.058373855,3.15608424,2.288318808,-0.246005961,0.663966781,-0.938333515,-0.047754577,72.35613968,74.88889642,13.15639525,171.997423,-144.1289827,-7.140095912,4.806362639,4.12688297,2.772476031,4.312399063,0.872290704,0.012627765,0.089973828,0.969316342,0.001881021,0.089638467,0.973445383,0.001319564,0.089929648,0.973446208,0.001319564,0.044857924,0.973447451,0.001319564,0.043942315,0.973449946,0.001319564,0.044905669
0.0854516,-1.534530903,-0.556667995,1.200446855,0.925300244,-0.25250922,0.276919171,0.058088942,3.393889908,2.534448634,-0.202766157,1.229253462,-1.412027788,-0.071221214,67.7657848,69.68502873,17.69153454,165.7772356,-138.784305,-3.536857045,4.836225117,3.976904035,2.876859493,4.162402464,0.855494413,0.016796291,0.08998225,0.967223567,0.002092775,0.089691951,0.972033583,0.0014118,0.089937309,0.972034409,0.0014118,0.044835641,0.972035651,0.0014118,0.0435807,0.972038146,0.0014118,0.044919799
0.0887382,-1.429336219,-0.477153431,1.195182986,0.937349678,-0.230417956,0.255024916,0.05696874,3.616608916,2.763475429,-0.144621164,1.774096876,-1.868156245,-0.082845447,61.84343103,62.29605652,23.63542757,152.7616175,-126.5010874,0.088937019,4.823188094,3.826913353,3.026848168,4.012405228,0.831394517,0.024099896,0.089989226,0.964858609,0.002364958,0.08974484,0.970510706,0.001522877,0.08994502,0.970511531,0.001522877,0.044812711,0.970512774,0.001522877,0.042977792,0.970515269,0.001522877,0.044944141
0.0920248,-1.317739849,-0.391113502,1.19194727,0.951468666,-0.200276034,0.227048773,0.055188201,3.819863519,2.96821763,-0.066940975,2.276163164,-2.283914682,-0.082553147,53.98375928,52.23825331,29.16092446,129.286205,-103.3866552,2.578323978,4.67319469,3.676919196,3.176842771,3.862407908,0.792759983,0.038634534,0.089994414,0.962138955,0.002719654,0.089795246,0.968854537,0.001656169,0.089952544,0.968855363,0.001656169,0.044791532,0.968856605,0.001656169,0.041892225,0.9688591,0.001656169,0.04498472
0.0953114,-1.200421207,-0.299409426,1.19131268,0.966051256,-0.162735348,0.193555738,0.052899371,3.997286527,3.139903858,0.028899311,2.701075168,-2.623705233,-0.074079228,44.8350103,40.33186654,34.27694666,106.0493561,-80.01946725,5.067709971,4.523198126,3.526923565,3.326839223,3.712410866,0.718744549,0.074015435,0.089997723,0.958949241,0.003189713,0.089841463,0.967039008,0.00181553,0.089959669,0.967039833,0.00181553,0.044776388,0.967041075,0.00181553,0.039795828,0.96704357,0.00181553,0.045052091
