t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5
0.0690262,-2.110198253,0.722627545,1.177973593,0.929319457,0.182108742,0.319549372,-0.033014506,1.547925187,-1.551275636,-0.076550882,0.103467121,1.6015223,-0.298178009,92.19718966,-55.20440558,12.0948924,-63.716029,-112.8821867,3.328476896,4.073039202,4.284666331,3.804960821,3.227062158,0.905229918,0.005654282,0.089929423,0.973980475,0.001344946,0.08941799,0.977079991,0.000975351,0.089878329,0.977080816,0.000975351,0.0449581,0.977082059,0.000975351,0.044561796,0.977084555,0.000975352,0.044810187
0.0720273,-2.05964868,0.67360148,1.176252513,0.922065582,0.181482053,0.340229994,-0.033209674,1.824621819,-1.71695176,-0.040252422,-0.087753573,1.262747106,-0.288188786,96.37754786,-54.31971872,8.25752259,-60.93538931,-159.618117,3.742342392,4.222896751,4.389033786,3.655027555,3.077076489,0.898946659,0.006283259,0.089937179,0.972563843,0.001416631,0.089452005,0.976079995,0.000999996,0.089882066,0.976080821,0.000999996,0.044951408,0.976082063,0.000999996,0.044502546,0.976084559,0.000999996,0.044796085
0.0750285,-2.000599244,0.619639586,1.175437781,0.917070841,0.178051215,0.355194322,-0.033404109,2.113864289,-1.879972816,-0.015470445,-0.270629179,0.783710863,-0.276957494,98.43968483,-52.52470129,5.470353457,-51.79902189,-199.8602286,4.858539102,4.372783843,4.416099601,3.50504531,2.927087245,0.891806859,0.007139801,0.089945994,0.971058269,0.001505575,0.089492175,0.975048372,0.001031624,0.089887052,0.975049197,0.001031624,0.044943914,0.97505044,0.001031624,0.04442264,0.975052935,0.001031624,0.044781247
0.0780296,-1.932766343,0.560863661,1.175227482,0.915244544,0.172059691,0.362725829,-0.033953838,2.40929552,-2.037606774,0.000946849,-0.426085272,0.183902428,-0.26237634,96.54014583,-49.16018534,2.516548336,-64.99100833,-213.2574398,3.59765232,4.234089382,4.416156035,3.355055767,2.777097037,0.883474819,0.00833204,0.089955441,0.969442311,0.001615958,0.089537577,0.973977151,0.00107122,0.089893189,0.973977977,0.00107122,0.044935559,0.973979219,0.00107122,0.044312523,0.973981715,0.00107122,0.044766344
0.0810308,-1.856141409,0.497506279,1.1753612,0.917168979,0.163400094,0.361771275,-0.034971686,2.699025969,-2.18514335,0.008499362,-0.621132357,-0.456112908,-0.251579284,92.62374772,-45.21557915,1.530373974,-79.11265067,-225.6195687,2.234708648,4.084118429,4.416163588,3.205065209,2.627108726,0.873434154,0.010040665,0.089964989,0.967689155,0.001753156,0.089586877,0.972857294,0.001119857,0.089900305,0.972858119,0.001119857,0.044926372,0.972859362,0.001119857,0.044156626,0.972861857,0.001119857,0.044752514
0.0840319,-1.770986187,0.429895088,1.175661656,0.923036612,0.151438467,0.351783849,-0.036303279,2.977002761,-2.320841613,0.013092228,-0.858560462,-1.133228717,-0.244872611,86.76571477,-40.5434535,2.431440683,-93.26353599,-237.8915799,0.871584559,3.934129625,4.416166302,3.05507629,2.477128894,0.86084724,0.012586914,0.089974066,0.965764933,0.001924222,0.08963845,0.971678582,0.001178713,0.08990817,0.971679407,0.001178713,0.044916537,0.971680649,0.001178713,0.043928313,0.971683145,0.001178713,0.044741484
0.087033,-1.677739841,0.358416243,1.176126333,0.932694525,0.135465644,0.332119862,-0.037767431,3.237398778,-2.442518174,0.020389321,-1.138457348,-1.847174545,-0.242256864,79.83270828,-35.37423818,6.099877859,-93.7910283,-236.3506007,-1.955597197,3.784135961,4.41614472,2.905095151,2.488283795,0.844255864,0.016591376,0.089982145,0.963626177,0.002138756,0.089690566,0.970429428,0.001249153,0.089916526,0.970430254,0.001249153,0.044906469,0.970431496,0.001249153,0.043579048,0.970433992,0.001249153,0.044735629
0.0900342,-1.57697641,0.283510963,1.176963591,0.9454346,0.115008944,0.302299417,-0.039260882,3.476987876,-2.548681199,0.038695905,-1.419937311,-2.556495679,-0.248125884,71.92816093,-29.57837926,12.70032925,-90.4436303,-189.4337511,-2.469146921,3.634140293,4.266158129,2.998575074,2.638266568,0.820872514,0.02338335,0.089988818,0.961216028,0.002410149,0.089741533,0.969096643,0.001332785,0.089925109,0.969097468,0.001332785,0.044896943,0.969098711,0.001332785,0.043014364,0.969101206,0.001332785,0.044737952
0.0930353,-1.469362753,0.205671213,1.17864071,0.959723256,0.090007639,0.263019516,-0.040627852,3.692854324,-2.637450043,0.076811366,-1.691371267,-3.1250128,-0.255536139,61.97040747,-22.45168535,20.12551901,-91.67771457,-137.6696562,-2.469237634,3.484143661,4.116163593,3.148558845,2.788258226,0.784625642,0.036246872,0.089993847,0.958458441,0.002757587,0.089789818,0.967665126,0.001431518,0.089933668,0.967665951,0.001431518,0.044889259,0.967667193,0.001431518,0.042037849,0.967669688,0.001431518,0.044751918
0.0960365,-1.355704424,0.125477751,1.181796406,0.973603635,0.060493841,0.216119012,-0.041581433,3.878836164,-2.704830684,0.137210857,-1.966508881,-3.538178649,-0.262946665,49.94247017,-13.77342585,26.93892455,-92.62750817,-85.86338677,-2.469266739,3.334146578,3.966167097,3.298550696,2.938252693,0.719491498,0.065134144,0.08999719,0.955249422,0.003209019,0.089834107,0.966117611,0.001547514,0.089941975,0.966118436,0.001547514,0.044885475,0.966119679,0.001547514,0.040234529,0.966122174,0.001547515,0.044781304
